sourceRow,id,tcg,name,edition,status,source,url,method,note
1652,stock-magic-the-gathering-green-sun-s-zenith-mirrodin-besieged-ingles-nonfoil,Magic The Gathering,Green Sun's Zenith,Mirrodin Besieged,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Green+Sun%27s+Zenith&format=image&version=normal&set=mbs,named_exact_image_endpoint,
648,stock-riftbound-diana-scorn-of-the-moon-v-2-showcase-unleashed-ingles-nonfoil,Riftbound,"Diana, Scorn of the Moon (V.2 - Showcase)",Unleashed,resolved,scrydex_image_endpoint,https://images.scrydex.com/riftbound/UNL-234/medium,scrydex_code_image_endpoint,
1567,stock-magic-the-gathering-ketramose-the-new-dawn-aetherdrift-extras-ingles-nonfoil,Magic The Gathering,"Ketramose, the New Dawn",Aetherdrift: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Ketramose%2C+the+New+Dawn&format=image&version=normal&set=dft,named_exact_image_endpoint,
873,stock-magic-the-gathering-lotus-petal-tempest-japones-nonfoil,Magic The Gathering,Lotus Petal,Tempest,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Lotus+Petal&format=image&version=normal&set=tmp,named_exact_image_endpoint,
1012,stock-magic-the-gathering-narset-parter-of-veils-secret-lair-drop-series-december-super-ingles-nonfoil,Magic The Gathering,"Narset, Parter of Veils",Secret Lair Drop Series: December Super,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Narset%2C+Parter+of+Veils&format=image&version=normal,named_exact_image_endpoint,
2038,stock-magic-the-gathering-flare-of-denial-modern-horizons-3-ingles-nonfoil,Magic The Gathering,Flare of Denial,Modern Horizons 3,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Flare+of+Denial&format=image&version=normal&set=mh3,named_exact_image_endpoint,
2029,stock-magic-the-gathering-necrodominance-modern-horizons-3-ingles-nonfoil,Magic The Gathering,Necrodominance,Modern Horizons 3,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Necrodominance&format=image&version=normal&set=mh3,named_exact_image_endpoint,
1386,stock-magic-the-gathering-rishadan-port-mercadian-masques-japones-nonfoil,Magic The Gathering,Rishadan Port,Mercadian Masques,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Rishadan+Port&format=image&version=normal&set=mmq,named_exact_image_endpoint,
1939,stock-magic-the-gathering-arid-mesa-v-1-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Arid Mesa (V.1),Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Arid+Mesa&format=image&version=normal&set=mh2,named_exact_image_endpoint,
1500,stock-magic-the-gathering-hypnotic-specter-fourth-edition-black-bordered-japones-nonfoil,Magic The Gathering,Hypnotic Specter,Fourth Edition: Black Bordered,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Hypnotic+Specter&format=image&version=normal&set=4bb,named_exact_image_endpoint,
1843,stock-magic-the-gathering-mox-amber-v-1-retro-frame-artifacts-ingles-nonfoil,Magic The Gathering,Mox Amber (V.1),Retro Frame Artifacts,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Mox+Amber&format=image&version=normal&set=brr,named_exact_image_endpoint,
1583,stock-magic-the-gathering-emrakul-the-promised-end-v-1-innistrad-remastered-extras-ingles-nonfoil,Magic The Gathering,"Emrakul, the Promised End (V.1)",Innistrad Remastered: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Emrakul%2C+the+Promised+End&format=image&version=normal&set=inr,named_exact_image_endpoint,
1745,stock-magic-the-gathering-chalice-of-the-void-time-spiral-remastered-extras-ingles-nonfoil,Magic The Gathering,Chalice of the Void,Time Spiral Remastered: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Chalice+of+the+Void&format=image&version=normal&set=tsr,named_exact_image_endpoint,
1552,stock-magic-the-gathering-ajani-nacatl-pariah-ajani-nacatl-avenger-v-1-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger (V.1)",Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Ajani%2C+Nacatl+Pariah+%2F%2F+Ajani%2C+Nacatl+Avenger&format=image&version=normal&set=mh2,named_exact_image_endpoint,
649,stock-riftbound-leblanc-deceiver-v-2-showcase-unleashed-ingles-nonfoil,Riftbound,"Leblanc, Deceiver (V.2 - Showcase)",Unleashed,resolved,scrydex_image_endpoint,https://images.scrydex.com/riftbound/UNL-235/medium,scrydex_code_image_endpoint,
1916,stock-magic-the-gathering-sacred-foundry-v-2-ravnica-remastered-extras-ingles-nonfoil,Magic The Gathering,Sacred Foundry (V.2),Ravnica Remastered: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Sacred+Foundry&format=image&version=normal&set=rvr,named_exact_image_endpoint,
3147,stock-magic-the-gathering-yawgmoth-thran-physician-time-spiral-remastered-extras-ingles-nonfoil,Magic The Gathering,"Yawgmoth, Thran Physician",Time Spiral Remastered: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Yawgmoth%2C+Thran+Physician&format=image&version=normal&set=tsr,named_exact_image_endpoint,
1388,stock-magic-the-gathering-snapcaster-mage-innistrad-remastered-japones-foil,Magic The Gathering,Snapcaster Mage,Innistrad Remastered,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Snapcaster+Mage&format=image&version=normal&set=inr,named_exact_image_endpoint,
1607,stock-magic-the-gathering-thoughtseize-time-spiral-remastered-extras-ingles-nonfoil,Magic The Gathering,Thoughtseize,Time Spiral Remastered: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Thoughtseize&format=image&version=normal&set=tsr,named_exact_image_endpoint,
