sourceRow,cardName,edition,tcg,language,quantity,saleValue,status,method,matchedGroupId,matchedName,matchedEdition,matchedLanguage,matchedQuantity,note
150,Underground Mortuary,Murders at Karlov Manor,Magic The Gathering,Español,1.0,13.12,matched,flexible_name_only,stock-magic-the-gathering-underground-mortuary-murders-at-karlov-manor-extras-ingles-nonfoil,Underground Mortuary,Murders at Karlov Manor: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
439,Painful Quandary,The Brothers' War: Promos,Magic The Gathering,Español,1.0,1.72,unmatched,unmatched,,,,,,No se encontró compra compatible.
523,Kogla and Yidaro,March of the Machine,Magic The Gathering,Inglés,2.0,0.59,unmatched,unmatched,,,,,,No se encontró compra compatible.
551,Street Wraith,Modern Masters,Magic The Gathering,Inglés,2.0,0.31,matched,flexible_name_only,stock-magic-the-gathering-street-wraith-dominaria-remastered-extras-ingles-nonfoil,Street Wraith,Dominaria Remastered: Extras,Inglés,2.0,Coincidencia flexible por TCG + nombre; revisar edición.
238,Diabolic Intent,The Brothers' War: Promos,Magic The Gathering,Inglés,1.0,7.25,unmatched,unmatched,,,,,,No se encontró compra compatible.
438,Deep-Cavern Bat,The Lost Caverns of Ixalan: Promos,Magic The Gathering,Español,1.0,1.72,matched,flexible_name_only,stock-magic-the-gathering-deep-cavern-bat-the-lost-caverns-of-ixalan-ingles-nonfoil,Deep-Cavern Bat,The Lost Caverns of Ixalan,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
92,Chalice of the Void,Mirrodin,Magic The Gathering,Inglés,1.0,21.17,matched,flexible_name_only,stock-magic-the-gathering-chalice-of-the-void-time-spiral-remastered-extras-ingles-nonfoil,Chalice of the Void,Time Spiral Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
405,Sword of Once and Future,March of the Machine: Promos,Magic The Gathering,Inglés,1.0,2.39,unmatched,unmatched,,,,,,No se encontró compra compatible.
522,Perennial Behemoth,The Brothers' War,Magic The Gathering,Español,1.0,0.6,unmatched,unmatched,,,,,,No se encontró compra compatible.
454,Utopia Sprawl,Ravnica Remastered,Magic The Gathering,Inglés,1.0,1.53,matched,flexible_name_only_multiple,stock-magic-the-gathering-utopia-sprawl-ravnica-remastered-extras-japones-nonfoil,Utopia Sprawl,Ravnica Remastered: Extras,Japonés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
156,Caretaker's Talent,Bloomburrow,Magic The Gathering,Inglés,1.0,12.4,overdrawn,exact,stock-magic-the-gathering-caretaker-s-talent-bloomburrow-ingles-nonfoil,Caretaker's Talent,Bloomburrow,Inglés,0.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
141,Monstrous Rage,Wilds of Eldraine,Magic The Gathering,Inglés,4.0,13.29,overdrawn,exact,stock-magic-the-gathering-monstrous-rage-wilds-of-eldraine-ingles-nonfoil,Monstrous Rage,Wilds of Eldraine,Inglés,3.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
244,"Phelia, Exuberant Shepherd",Modern Horizons 3,Magic The Gathering,Inglés,3.0,7.18,matched,flexible_name_only,stock-magic-the-gathering-phelia-exuberant-shepherd-modern-horizons-3-extras-ingles-nonfoil,"Phelia, Exuberant Shepherd",Modern Horizons 3: Extras,Inglés,3.0,Coincidencia flexible por TCG + nombre; revisar edición.
409,"Phelia, Exuberant Shepherd",Modern Horizons 3,Magic The Gathering,Inglés,1.0,2.32,matched,flexible_name_only,stock-magic-the-gathering-phelia-exuberant-shepherd-modern-horizons-3-extras-ingles-nonfoil,"Phelia, Exuberant Shepherd",Modern Horizons 3: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
57,Recruiter of the Guard,Modern Horizons 3,Magic The Gathering,Inglés,4.0,33.73,matched,flexible_name_only,stock-magic-the-gathering-recruiter-of-the-guard-modern-horizons-3-extras-japones-nonfoil,Recruiter of the Guard,Modern Horizons 3: Extras,Japonés,4.0,Coincidencia flexible por TCG + nombre; revisar edición.
415,Past in Flames,Innistrad,Magic The Gathering,Español,1.0,2.23,matched,flexible_name_only,stock-magic-the-gathering-past-in-flames-time-spiral-remastered-extras-ingles-nonfoil,Past in Flames,Time Spiral Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
510,"Yedora, Grave Gardener",Multiverse Legends,Magic The Gathering,Inglés,1.0,0.7,unmatched,unmatched,,,,,,No se encontró compra compatible.
511,Transmogrant's Crown,The Brothers' War,Magic The Gathering,Español,1.0,0.7,unmatched,unmatched,,,,,,No se encontró compra compatible.
512,Siege-Gang Commander,Duel Decks: Elves vs. Goblins,Magic The Gathering,Inglés,1.0,0.7,matched,flexible_name_only_multiple,stock-magic-the-gathering-siege-gang-commander-core-2020-extras-espanol-nonfoil,Siege-Gang Commander,Core 2020: Extras,Español,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
351,Graveborn Muse,Legions,Magic The Gathering,Español,1.0,3.33,unmatched,unmatched,,,,,,No se encontró compra compatible.
338,"Teferi, Who Slows the Sunset",Innistrad: Midnight Hunt,Magic The Gathering,Inglés,1.0,3.79,unmatched,unmatched,,,,,,No se encontró compra compatible.
464,Bronze Bombshell,Dissension,Magic The Gathering,Español,1.0,1.29,unmatched,unmatched,,,,,,No se encontró compra compatible.
526,Street Wraith,Future Sight,Magic The Gathering,Español,1.0,0.58,matched,flexible_name_only,stock-magic-the-gathering-street-wraith-dominaria-remastered-extras-ingles-nonfoil,Street Wraith,Dominaria Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
433,White Sun's Twilight,Phyrexia: All Will Be One,Magic The Gathering,Español,1.0,1.87,unmatched,unmatched,,,,,,No se encontró compra compatible.
128,Spell Snare,Dissension,Magic The Gathering,Español,3.0,16.1,overdrawn,exact,stock-magic-the-gathering-spell-snare-dissension-espanol-nonfoil,Spell Snare,Dissension,Español,2.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
436,Blood Artist,Innistrad Remastered,Magic The Gathering,Inglés,1.0,1.83,matched,flexible_name_only,stock-magic-the-gathering-blood-artist-innistrad-remastered-extras-ingles-nonfoil,Blood Artist,Innistrad Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
423,Muddle the Mixture,Ravnica Remastered: Extras,Magic The Gathering,Inglés,1.0,2.08,unmatched,unmatched,,,,,,No se encontró compra compatible.
191,Moonshaker Cavalry,Wilds of Eldraine: Promos,Magic The Gathering,Inglés,1.0,10.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
153,Snapcaster Mage,Innistrad,Magic The Gathering,Español,1.0,12.89,matched,flexible_ignore_language_variant,stock-magic-the-gathering-snapcaster-mage-innistrad-ingles-nonfoil,Snapcaster Mage,Innistrad,Inglés,1.0,Coincidencia flexible ignorando idioma y variante.
327,Forbidden Orchard,Champions of Kamigawa,Magic The Gathering,Chino-S,1.0,4.26,unmatched,unmatched,,,,,,No se encontró compra compatible.
492,"Grist, the Hunger Tide",Modern Horizons 2,Magic The Gathering,Inglés,4.0,1.06,matched,flexible_name_only,stock-magic-the-gathering-grist-the-hunger-tide-modern-horizons-2-extras-ingles-nonfoil,"Grist, the Hunger Tide",Modern Horizons 2: Extras,Inglés,4.0,Coincidencia flexible por TCG + nombre; revisar edición.
232,Blooming Marsh,Outlaws of Thunder Junction: Extras,Magic The Gathering,Inglés,1.0,7.35,matched,flexible_name_only,stock-magic-the-gathering-blooming-marsh-kaladesh-chino-s-nonfoil,Blooming Marsh,Kaladesh,Chino-S,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
